ind.name,reads,vcfname,loci,box.and.sample.number,unique.identifier,TortoiseNumber,Location,Site,most.recent.capture,oldest.capture,age.according.to.recaps,oldest.estimate.capture,true.age,true.age.days,birthday,lat,long,Site.fixed,dummypop,Site.fixed.simplified,notes
GOPH039,3406063,GOPH039001,40478,1.32_349,Conecuh_3_349,349,Conecuh,3,6/12/19,6/12/19,0,2,2,730,6/12/17,31.03781,-86.64275,3,dummy,3,
GOPH040,3409456,GOPH040001,35777,1.33_343,Conecuh_4_343,343,Conecuh,4,6/2/19,6/2/19,0,>18,18,6570,6/6/01,31.03823,-86.68684,4,dummy,4,
GOPH041,2995031,GOPH041001,32070,1.34_348,Conecuh_3_348,348,Conecuh,3,6/11/19,6/11/19,0,2,2,730,6/11/17,31.03849,-86.64346,3,dummy,3,
GOPH042,4934338,GOPH042001,65793,1.35_244,Conecuh_3_244,244,Conecuh,3,6/16/19,7/19/15,3.909650924,old,20,7300,6/21/99,31.0403,-86.6414,3,dummy,3,
GOPH043,2642987,GOPH043001,26495,1.36_338,Conecuh_4_338,338,Conecuh,4,5/28/19,5/28/19,0,6,6,2190,5/29/13,31.03991,-86.6863,4,dummy,4,
GOPH044,2951777,GOPH044001,33617,1.37_345,Conecuh_4_345,345,Conecuh,4,6/4/19,6/4/19,0,10,10,3650,6/6/09,31.03813,-86.68734,4,dummy,4,
GOPH045,2552141,GOPH045001,25127,1.38_131,Conecuh_4_231,231,Conecuh,4,NA,NA,NA,NA,NA,NA,NA,31.03942,-86.68711,4,dummy,4,
GOPH046,3219009,GOPH046001,41416,1.39_3,Conecuh_3_29,29,Conecuh,3,6/10/19,8/7/91,27.84120465,old,27.84120465,10162,8/14/91,31.040923,-86.641576,3,dummy,3,
GOPH047,3185605,GOPH047001,39971,1.4_25,Conecuh_4_25,25,Conecuh,4,5/29/19,7/4/99,19.90143737,old,19.90143737,7264,7/9/99,31.03991,-86.68538,4,dummy,4,lat long copied from 231
GOPH048,3267388,GOPH048001,37231,1.43_97,Conecuh_1_97,97,Conecuh,1,6/18/20,9/5/92,27.78370979,old/very old,20,7300,6/23/00,31.158848,-86.554549,1,dummy,1,
GOPH049,3336852,GOPH049001,41878,1.44_261,Conecuh_6_261,261,Conecuh,6,8/15/18,6/9/16,2.182067077,old,20,7300,8/20/98,31.11914,-86.49432,6,dummy,6,
GOPH050,3239145,GOPH050001,40005,1.45_317,Conecuh_6_317,317,Conecuh,6,7/20/20,8/10/18,1.943874059,7,7,2555,7/22/13,31.11912,-86.49392,6,dummy,6,
GOPH051,3444055,GOPH051001,41644,1.46_315,Conecuh_6_315,315,Conecuh,6,8/12/18,8/12/18,0,2,2,730,8/12/16,31.11904,-86.49431,6,dummy,6,
GOPH052,3272110,GOPH052001,39816,1.47_316,Conecuh_6_316,316,Conecuh,6,8/10/18,8/10/18,0,2,2,730,8/10/16,31.11915,-86.49396,6,dummy,6,
GOPH053,3432700,GOPH053001,38783,1.48_318,Conecuh_6_318,318,Conecuh,6,8/11/18,8/11/18,0,2,2,730,8/11/16,31.11941,-86.49358,6,dummy,6,
GOPH054,3908621,GOPH054001,51966,1.49_334,Conecuh_Hogfoot Road_334,334,Conecuh,Hogfoot Road,8/24/18,8/24/18,0,old,20,7300,8/29/98,31.13228,-86.53691,Hogfoot Road,dummy,Conecuh Unknown,
GOPH055,3173041,GOPH055001,36721,1.5_323,Conecuh_1_323,323,Conecuh,1,8/14/18,8/14/18,0,1,1,365,8/14/17,31.15853,-86.55291,1,dummy,1,
GOPH056,3799053,GOPH056001,44493,1.51_226,Conecuh_1_226,226,Conecuh,1,6/11/20,6/12/13,6.997946612,old,20,7300,6/16/00,31.158794,-86.554932,1,dummy,1,
GOPH057,3889582,GOPH057001,47688,1.52_13,Conecuh_1_13,13,Conecuh,1,6/17/20,7/8/91,28.94455852,old,28.94455852,10565,7/15/91,31.158997,-86.554923,1,dummy,1,
GOPH058,5041639,GOPH058001,67027,1.53_325,Conecuh_Nellie Pond Road_325,325,Conecuh,Nellie Pond Road,8/15/18,8/15/18,0,>21,21,7665,8/20/97,31.15663,-86.5692,Nellie Pond Road,dummy,Conecuh Unknown,
GOPH059,2481305,GOPH059001,21372,1.54_335,Conecuh_1_335,335,Conecuh,1,8/26/18,8/26/18,0,old,20,7300,8/31/98,31.15892,-86.55669,1,dummy,1,
GOPH060,3493325,GOPH060001,40189,1.56_313,Conecuh_1_313,313,Conecuh,1,8/25/18,10/20/17,0.845995893,old,20,7300,8/30/98,31.160084,-86.55528,1,dummy,1,
GOPH061,3116462,GOPH061001,34876,1.57_326,Conecuh_Hogfoot Road_326,326,Conecuh,Hogfoot Road,8/16/18,8/16/18,0,>18,18,6570,8/20/00,31.13982,-86.53551,Hogfoot Road,dummy,Conecuh Unknown,
GOPH062,3632707,GOPH062001,37461,1.59_319,Conecuh_6_319,319,Conecuh,6,8/12/18,8/12/18,0,21,21,7665,8/17/97,31.1193,-86.49406,6,dummy,6,
GOPH063,3446010,GOPH063001,42346,1.6_224,Conecuh_1_224,224,Conecuh,1,8/20/18,5/21/13,5.248459959,old,20,7300,8/25/98,31.158703,-86.553851,1,dummy,1,
GOPH064,3891427,GOPH064001,38220,1.61_294,Conecuh_1_294,294,Conecuh,1,6/14/20,7/28/16,3.879534565,old,20,7300,6/19/00,31.15899506,-86.55590924,1,dummy,1,
GOPH065,2577359,GOPH065001,23016,1.63_16,Conecuh_1_16,16,Conecuh,1,6/5/20,6/25/91,28.94729637,old,28.94729637,10566,7/2/91,31.158554,-86.55437,1,dummy,1,
GOPH066,3409974,GOPH066001,37383,1.64_336,Conecuh_1_336,336,Conecuh,1,8/26/18,8/26/18,0,old,20,7300,8/31/98,31.15883,-86.55913,1,dummy,1,
GOPH067,3695733,GOPH067001,49707,1.65_293,Conecuh_1_293,293,Conecuh,1,6/15/20,7/28/16,3.882272416,8,8,2920,6/17/12,31.15649,-86.55263,1,dummy,1,
GOPH068,3596332,GOPH068001,45824,1.66_328,Conecuh_Open Pond Road_328,328,Conecuh,Open Pond Road,8/20/18,8/20/18,0,20,20,7300,8/25/98,31.09469,-86.54511,Open Pond Road,dummy,Conecuh Unknown,
GOPH069,3797902,GOPH069001,48650,1.67_79,Conecuh_6_79,79,Conecuh,6,7/22/20,7/26/92,27.9890486,very old,20,7300,7/27/00,31.119338,-86.496756,6,dummy,6,
GOPH070,4604855,GOPH070001,59125,1.69_320,Conecuh_6_320,320,Conecuh,6,8/12/18,8/12/18,0,old,20,7300,8/17/98,31.11943,-86.49341,6,dummy,6,
GOPH071,4410478,GOPH071001,61994,1.72_322,Conecuh_6_322,322,Conecuh,6,7/21/20,8/14/18,1.935660507,old,20,7300,7/26/00,31.11914,-86.49432,6,dummy,6,
GOPH072,4529289,GOPH072001,57867,1.74_333,Conecuh_1_333,333,Conecuh,1,8/22/18,8/22/18,0,old,20,7300,8/27/98,31.15835,-86.55889,1,dummy,1,
GOPH073,3246115,GOPH073001,43068,1.75_332,Conecuh_1_332,332,Conecuh,1,6/16/20,8/22/18,1.817932923,very old,20,7300,6/21/00,31.1596,-86.5591,1,dummy,1,
GOPH074,3631961,GOPH074001,46405,1.78_331,Conecuh_1_331,331,Conecuh,1,8/26/18,8/22/18,0.010951403,old,20,7300,8/31/98,31.1584,-86.55889,1,dummy,1,
GOPH075,3845058,GOPH075001,45778,1.79_329,Conecuh_Hogfoot Road_329,329,Conecuh,Hogfoot Road,8/22/18,8/22/18,0,23,23,8395,8/28/95,31.13468,-86.5378,Hogfoot Road,dummy,Conecuh Unknown,
GOPH076,4475284,GOPH076001,62568,1.8_327,Conecuh_6_327,327,Conecuh,6,8/17/18,8/17/18,0,>20,20,7300,8/22/98,31.11938,-86.49338,6,dummy,6,
GOPH077,4473539,GOPH077001,50750,1.81_G1,Geneva_ZACH DEARL_1,1,Geneva,ZACH DEARL,4/2/14,4/2/14,0,16,16,5840,4/6/98,31.11575,-86.16982,Geneva,dummy,Geneva,
GOPH078,3805677,GOPH078001,33872,1.82_G6,Geneva__6,6,Geneva,NA,6/5/14,4/23/14,0.117727584,old,20,7300,6/10/94,31.1198,-86.16415,Geneva,dummy,Geneva,
GOPH079,3475277,GOPH079001,37978,1.83_G11,Geneva_SWATCH PLOT_11,11,Geneva,SWATCH PLOT,4/28/14,4/28/14,0,20,20,7300,5/3/94,31.11738,-86.16847,Geneva,dummy,Geneva,
GOPH080,4868146,GOPH080001,59011,1.84_G17,Geneva__17,17,Geneva,NA,6/7/14,6/7/14,0,old,20,7300,6/12/94,31.12898,-86.18436,Geneva,dummy,Geneva,
GOPH081,3758929,GOPH081001,42259,1.85_G22,Geneva__22,22,Geneva,NA,6/10/14,6/10/14,0,15,15,5475,6/14/99,31.11659,-86.16912,Geneva,dummy,Geneva,
GOPH082,4128228,GOPH082001,48886,1.86_DC10,SolonDixon_PP_10,10,SolonDixon,PP,8/28/14,8/28/14,0,old,20,7300,9/2/94,31.16348,-86.71588,SolonDixon,dummy,SolonDixon,
GOPH083,3248211,GOPH083001,33381,1.87_DC11,SolonDixon__11,11,SolonDixon,NA,8/28/14,8/28/14,0,18,18,6570,9/1/96,31.17065,-86.70798,SolonDixon,dummy,SolonDixon,
GOPH084,3232912,GOPH084001,32641,1.88_DC15,SolonDixon_DR_15,15,SolonDixon,DR,8/30/14,8/30/14,0,8,8,2920,9/1/06,31.15225,-86.68494,SolonDixon,dummy,SolonDixon,
GOPH085,3221400,GOPH085001,29722,1.89_G2,Geneva__2,2,Geneva,NA,4/3/14,4/3/14,0,5,5,1825,4/4/09,31.13964,-86.16126,Geneva,dummy,Geneva,
GOPH086,3111137,GOPH086001,26128,1.9_DC12,SolonDixon_DR_12,12,SolonDixon,DR,8/29/14,8/29/14,0,old,20,7300,9/3/94,31.166,-86.69062,SolonDixon,dummy,SolonDixon,
GOPH087,3382615,GOPH087001,36829,"1.91_DC ""122""",SolonDixon__122,122,SolonDixon,NA,8/28/14,8/28/14,0,old,20,7300,9/2/94,31.15723,-86.7067,SolonDixon,dummy,SolonDixon,
GOPH088,3593776,GOPH088001,38574,1.92_G23,Geneva__23,23,Geneva,NA,6/10/14,6/10/14,0,13,13,4745,6/13/01,31.11649,-86.16898,Geneva,dummy,Geneva,
GOPH089,3706515,GOPH089001,40658,1.93_G18,Geneva__18,18,Geneva,NA,9/1/15,6/7/14,1.234770705,15,15,5475,9/4/00,31.15089,-86.16874,Geneva,dummy,Geneva,
GOPH090,3666030,GOPH090001,44322,1.94_G12,Geneva_Highway 52_12,12,Geneva,Highway 52,4/28/14,4/28/14,0,20,20,7300,5/3/94,31.132,-86.13358,Geneva,dummy,Geneva,
GOPH091,2952735,GOPH091001,24230,1.95_G7?,Geneva__7,7,Geneva,NA,4/24/14,4/24/14,0,old,20,7300,4/29/94,31.15098,-86.16918,Geneva,dummy,Geneva,
GOPH092,3191785,GOPH092001,29518,1.96_DC13,SolonDixon_DR_13,13,SolonDixon,DR,8/29/14,8/29/14,0,old,20,7300,9/3/94,31.16339,-86.68459,SolonDixon,dummy,SolonDixon,
GOPH093,3342242,GOPH093001,30728,1.97_DR09,SolonDixon_DR_9,9,SolonDixon,DR,8/27/14,8/27/14,0,old,20,7300,9/1/94,31.16359,-86.68465,SolonDixon,dummy,SolonDixon,
GOPH094,3133347,GOPH094001,29507,"1.98_DC ""112""",SolonDixon_PP_112,112,SolonDixon,PP,8/26/14,8/26/14,0,old,20,7300,8/31/94,31.1564,-86.70689,SolonDixon,dummy,SolonDixon,
GOPH095,3194231,GOPH095001,33016,1.99_G19,Geneva__19,19,Geneva,NA,6/8/14,6/8/14,0,32,32,11680,6/16/82,31.1198,-86.16478,Geneva,dummy,Geneva,
GOPH096,4131642,GOPH096001,37698,1.1_G13,Geneva__13,13,Geneva,NA,6/6/14,6/6/14,0,8,8,2920,6/8/06,31.12891,-86.18444,Geneva,dummy,Geneva,
GOPH097,3169178,GOPH097001,31460,2.01_G8?,Geneva_FOOD PLOT_8,8,Geneva,FOOD PLOT,4/24/14,4/24/14,0,20,20,7300,4/29/94,31.16162,-86.1889,Geneva,dummy,Geneva,
GOPH098,3143515,GOPH098001,32241,2.02_G3,Geneva_TRANSFORMER_3,3,Geneva,TRANSFORMER,4/12/14,4/12/14,0,17,17,6205,4/16/97,31.15042,-86.1692,Geneva,dummy,Geneva,
GOPH099,3241843,GOPH099001,30686,2.03_DC08,SolonDixon__8,8,SolonDixon,NA,8/25/14,8/25/14,0,9,9,3285,8/27/05,31.17154,-86.6914,SolonDixon,dummy,SolonDixon,
GOPH100,3444579,GOPH100001,38244,2.04_DC232,SolonDixon_DR_232,232,SolonDixon,DR,8/27/14,8/27/14,0,old,20,7300,9/1/94,31.14845,-86.69233,SolonDixon,dummy,SolonDixon,
GOPH101,4318896,GOPH101001,47819,2.05_DC252,SolonDixon__252,252,SolonDixon,NA,8/30/14,8/30/14,0,old,20,7300,9/4/94,31.16717,-86.70266,SolonDixon,dummy,SolonDixon,
GOPH102,3900002,GOPH102001,42826,2.06_G20,Geneva__20,20,Geneva,NA,6/8/14,6/8/14,0,26,26,9490,6/14/88,31.15076,-86.16916,Geneva,dummy,Geneva,
GOPH103,3725018,GOPH103001,45722,2.07_G14,Geneva__14,14,Geneva,NA,6/6/14,6/6/14,0,9,9,3285,6/8/05,31.16158,-86.1885,Geneva,dummy,Geneva,
GOPH104,4050283,GOPH104001,49010,2.08_G09,Geneva_SNATCH PLOT_9,9,Geneva,SNATCH PLOT,4/27/14,4/27/14,0,old,20,7300,5/2/94,31.11659,-86.16912,Geneva,dummy,Geneva,
GOPH105,3600001,GOPH105001,42145,2.09_G04,Geneva__4,4,Geneva,NA,4/13/14,4/13/14,0,old,20,7300,4/18/94,31.16173,-86.18914,Geneva,dummy,Geneva,
GOPH106,3501655,GOPH106001,42852,2.1_G05,Geneva__5,5,Geneva,NA,4/22/14,4/22/14,0,7,7,2555,4/24/07,31.15172,-86.16933,Geneva,dummy,Geneva,
GOPH107,3851251,GOPH107001,50247,2.11_G10,Geneva_OVER THE HILL WATER_10,10,Geneva,OVER THE HILL WATER,4/27/14,4/27/14,0,old,20,7300,5/2/94,31.13971,-86.16084,Geneva,dummy,Geneva,
GOPH108,3943145,GOPH108001,51247,2.12_G16,Geneva__16,16,Geneva,NA,6/7/14,6/7/14,0,old,20,7300,6/12/94,31.11659,-86.16912,Geneva,dummy,Geneva,
GOPH109,3501441,GOPH109001,43566,2.13_DC102,SolonDixon_DR_102,102,SolonDixon,DR,8/26/14,8/26/14,0,old,20,7300,8/31/94,31.16368,-86.68512,SolonDixon,dummy,SolonDixon,
GOPH110,3382977,GOPH110001,39157,2.14_G21,Geneva__21,21,Geneva,NA,6/10/14,6/10/14,0,old,20,7300,6/15/94,31.15975,-86.16058,Geneva,dummy,Geneva,
GOPH111,3518232,GOPH111001,44549,2.15_DC14,SolonDixon_PP_14,14,SolonDixon,PP,8/30/14,8/30/14,0,old,20,7300,9/4/94,31.16326,-86.7159,SolonDixon,dummy,SolonDixon,
GOPH112,3793057,GOPH112001,46654,2.16_DC32,SolonDixon_PP_32,32,SolonDixon,PP,8/26/14,8/26/14,0,old,20,7300,8/31/94,31.16352,-86.71618,SolonDixon,dummy,SolonDixon,
GOPH113,4023805,GOPH113001,56470,2.17_72,Conecuh_4_72,72,Conecuh,4,6/2/17,7/11/92,24.89253936,old,24.89253936,9086,7/17/92,31.03721,-86.68657,4,dummy,4,
GOPH114,3609640,GOPH114001,49439,2.18_307,Conecuh_4_307.2,307.2,Conecuh,4,6/4/17,6/4/17,0,old,20,7300,6/9/97,31.03802,-86.68684,4,dummy,4,
GOPH115,4387896,GOPH115001,60227,2.21_272,Conecuh_4_272,272,Conecuh,4,6/1/17,6/29/16,0.922655715,5,5,1825,6/2/12,31.03955,-86.68415,4,dummy,4,
GOPH116,4960784,GOPH116001,64394,2.22_273,Conecuh_4_273.2,273.2,Conecuh,4,6/2/17,6/2/17,0,2,2,730,6/3/15,31.03947,-86.68472,4,dummy,4,
GOPH117,4426146,GOPH117001,57607,2.23_64,Conecuh_4_84,84,Conecuh,4,5/29/19,7/6/92,26.89390828,>20,20,7300,6/3/99,31.03904667,-86.68455667,4,dummy,4,
GOPH118,3870232,GOPH118001,51663,2.24_299,Conecuh_4_299,299,Conecuh,4,5/30/17,5/30/17,0,5,5,1825,5/31/12,31.03961,-86.68424,4,dummy,4,
GOPH119,4270782,GOPH119001,57449,2.26_274,Conecuh_4_274.2,274.2,Conecuh,4,5/26/17,6/29/16,0.906228611,5,5,1825,5/27/12,31.04053316,-86.68561795,4,dummy,4,
GOPH120,4746298,GOPH120001,54469,2.27_303,Conecuh_4_303.2,303.2,Conecuh,4,6/2/17,6/2/17,0,4,4,1460,6/3/13,31.04033,-86.68427,4,dummy,4,
GOPH121,5026898,GOPH121001,43829,2.28_297,Conecuh_4_297,297,Conecuh,4,5/26/17,5/26/17,0,2,2,730,5/27/15,31.04046,-86.68554,4,dummy,4,
GOPH122,3535098,GOPH122001,41860,2.29_301,Conecuh_4_301.2,301.2,Conecuh,4,5/31/17,5/31/17,0,1,1,365,5/31/16,31.04021,-86.68641,4,dummy,4,
GOPH123,4246874,GOPH123001,58305,2.3_279,Conecuh_4_279.2,279.2,Conecuh,4,5/28/17,6/30/16,0.908966461,old,20,7300,6/2/97,31.03826,-86.68391,4,dummy,4,
GOPH124,4616428,GOPH124001,63574,2.32_300,Conecuh_4_300,300,Conecuh,4,5/30/17,5/30/17,0,3,3,1095,5/31/14,31.04008,-86.6869,4,dummy,4,
GOPH125,4608263,GOPH125001,64586,2.34_298,Conecuh_4_298,298,Conecuh,4,5/27/17,5/27/17,0,1,1,365,5/27/16,31.04039,-86.68531,4,dummy,4,
GOPH126,4204916,GOPH126001,61583,2.36_6?*,Conecuh_4_6,6,Conecuh,4,6/4/17,9/10/02,14.73237509,old,14.73237509,5377,9/14/02,31.03737,-86.68542,4,dummy,4,
GOPH127,3442269,GOPH127001,45730,2.37_66,Conecuh_4_66,66,Conecuh,4,5/26/19,7/8/92,26.88021903,old,26.88021903,9811,7/15/92,31.03712,-86.68609,4,dummy,4,
GOPH128,4338316,GOPH128001,57812,2.38_296,Conecuh_4_296,296,Conecuh,4,5/26/17,5/26/17,0,3,3,1095,5/27/14,31.03818,-86.68384,4,dummy,4,
GOPH129,4770640,GOPH129001,64939,2.39_276,Conecuh_4_276.2,276.2,Conecuh,4,6/4/17,6/30/16,0.928131417,7,7,2555,6/6/10,31.04082,-86.68533,4,dummy,4,
GOPH130,4745420,GOPH130001,66134,2.4_204,Conecuh_4_204,204,Conecuh,4,6/4/17,6/4/17,0,old,20,7300,6/9/97,31.03754,-86.68719,4,dummy,4,
GOPH131,5459863,GOPH131001,70287,2.41_302,Conecuh_4_302.2,302.2,Conecuh,4,5/31/17,5/31/17,0,1,1,365,5/31/16,31.03765,-86.68718,4,dummy,4,
GOPH132,5655809,GOPH132001,77184,2.42_310,Conecuh_3_310,310,Conecuh,3,8/8/17,8/8/17,0,6,6,2190,8/10/11,31.03814,-86.64326,3,dummy,3,
GOPH133,4912932,GOPH133001,69068,2.43_247,Conecuh_3_247,247,Conecuh,3,6/16/19,7/21/15,3.904175222,-,3.904175222,1425,7/22/15,31.04029,-86.64276,3,dummy,3,
GOPH134,5019138,GOPH134001,69001,2.44_308,Conecuh_3_308,308,Conecuh,3,8/7/17,8/7/17,0,8,8,2920,8/9/09,31.03989,-86.64163,3,dummy,3,
GOPH135,4625153,GOPH135001,65135,2.45_240,Conecuh_3_240,240,Conecuh,3,8/7/17,7/16/15,2.061601643,8,8,2920,8/9/09,31.03946,-86.64307,3,dummy,3,
GOPH136,3948005,GOPH136001,53557,2.47_309,Conecuh_3_309,309,Conecuh,3,8/11/17,8/7/17,0.010951403,NA,0.010951403,4,8/7/17,31.03999,-86.6427,3,dummy,3,
GOPH137,5437550,GOPH137001,71672,2.49_251,Conecuh_3_251,251,Conecuh,3,8/12/17,7/24/15,2.05338809,>22,22,8030,8/18/95,31.03827,-86.64343,3,dummy,3,
GOPH138,4802325,GOPH138001,70158,2.5_241,Conecuh_3_241,241,Conecuh,3,8/7/17,7/17/15,2.058863792,7,7,2555,8/9/10,31.039791,-86.642094,3,dummy,3,
GOPH139,3290277,GOPH139001,45733,2.52_311,Conecuh_3_311,311,Conecuh,3,8/9/17,8/9/17,0,12,12,4380,8/12/05,31.04037,-86.64172,3,dummy,3,
GOPH140,4138230,GOPH140001,60081,2.53_245,Conecuh_3_245,245,Conecuh,3,8/10/17,7/19/15,2.061601643,old,20,7300,8/15/97,31.04086,-86.64276,3,dummy,3,
GOPH141,3289544,GOPH141001,47444,2.54_248,Conecuh_3_248,248,Conecuh,3,8/8/17,7/22/15,2.047912389,7,7,2555,8/10/10,31.03928,-86.64252,3,dummy,3,
GOPH142,4114533,GOPH142001,59812,2.55_P13,Perdido__13,13,Perdido,NA,5/1/15,5/1/15,0,0,unkown,NA,5/1/15,30.69209,-87.46848,Perdido,dummy,Perdido,
GOPH143,3706247,GOPH143001,49618,2.56_P01,Perdido__1,1,Perdido,NA,4/20/15,4/20/15,0,14,14,5110,4/23/01,30.67006,-87.47403,Perdido,dummy,Perdido,
GOPH144,2915412,GOPH144001,32631,2.57_P08,Perdido__8,8,Perdido,NA,4/24/15,4/24/15,0,>21/OLD,21,7665,4/29/94,30.63787,-87.42437,Perdido,dummy,Perdido,
GOPH145,4204690,GOPH145001,59422,2.58_P02,Perdido__2,2,Perdido,NA,4/21/15,4/21/15,0,9,9,3285,4/23/06,30.63458,-87.4239,Perdido,dummy,Perdido,
GOPH146,3341997,GOPH146001,43756,2.59_P07,Perdido__7,7,Perdido,NA,4/23/15,4/23/15,0,old,20,7300,4/28/95,30.68204,-87.44682,Perdido,dummy,Perdido,
GOPH147,3399352,GOPH147001,40635,2.6_P05,Perdido__5,5,Perdido,NA,4/23/15,4/23/15,0,4,4,1460,4/24/11,30.6424,-87.43752,Perdido,dummy,Perdido,
